Zip Code,City,State,County
07001,Avenel,NJ,Middlesex County
07002,Bayonne,NJ,Hudson County
07003,Bloomfield,NJ,Essex County
07004,Fairfield,NJ,Essex County
07005,Boonton,NJ,Morris County
07006,Caldwell,NJ,Essex County
07007,Caldwell,NJ,Essex County
07008,Carteret,NJ,Middlesex County
07009,Cedar Grove,NJ,Essex County
07010,Cliffside Park,NJ,Bergen County
07011,Clifton,NJ,Passaic County
07012,Clifton,NJ,Passaic County
07013,Clifton,NJ,Passaic County
07014,Clifton,NJ,Passaic County
07015,Clifton,NJ,Passaic County
07016,Cranford,NJ,Union County
07017,East Orange,NJ,Essex County
07018,East Orange,NJ,Essex County
07019,East Orange,NJ,Essex County
07020,Edgewater,NJ,Bergen County
07021,Essex Fells,NJ,Essex County
07022,Fairview,NJ,Bergen County
07023,Fanwood,NJ,Union County
07024,Fort Lee,NJ,Bergen County
07026,Garfield,NJ,Bergen County
07027,Garwood,NJ,Union County
07028,Glen Ridge,NJ,Essex County
07029,Harrison,NJ,Hudson County
07030,Hoboken,NJ,Hudson County
07031,North Arlington,NJ,Bergen County
07032,Kearny,NJ,Hudson County
07033,Kenilworth,NJ,Union County
07034,Lake Hiawatha,NJ,Morris County
07035,Lincoln Park,NJ,Morris County
07036,Linden,NJ,Union County
07039,Livingston,NJ,Essex County
07040,Maplewood,NJ,Essex County
07041,Millburn,NJ,Essex County
07042,Montclair,NJ,Essex County
07043,Montclair,NJ,Essex County
07044,Verona,NJ,Essex County
07045,Montville,NJ,Morris County
07046,Mountain Lakes,NJ,Morris County
07047,North Bergen,NJ,Hudson County
07050,Orange,NJ,Essex County
07051,Orange,NJ,Essex County
07052,West Orange,NJ,Essex County
07054,Parsippany,NJ,Morris County
07055,Passaic,NJ,Passaic County
07057,Wallington,NJ,Bergen County
07058,Pine Brook,NJ,Morris County
07059,Warren,NJ,Somerset County
07060,Plainfield,NJ,Union County
07061,Plainfield,NJ,Union County
07062,Plainfield,NJ,Union County
07063,Plainfield,NJ,Union County
07064,Port Reading,NJ,Middlesex County
07065,Rahway,NJ,Union County
07066,Clark,NJ,Union County
07067,Colonia,NJ,Middlesex County
07068,Roseland,NJ,Essex County
07069,Watchung,NJ,Somerset County
07070,Rutherford,NJ,Bergen County
07071,Lyndhurst,NJ,Bergen County
07072,Carlstadt,NJ,Bergen County
07073,East Rutherford,NJ,Bergen County
07074,Moonachie,NJ,Bergen County
07075,Wood Ridge,NJ,Bergen County
07076,Scotch Plains,NJ,Union County
07077,Sewaren,NJ,Middlesex County
